,Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_emission,binary,origin,comment,[H/H(e)],[H/H(e)]e,[He/H(e)],[He/H(e)]e,[Li/H(e)],[Li/H(e)]e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,[Be/H(e)],[Be/H(e)]e,Acc_rate_Be_steady_state,Sinking_time_Be,[C/H(e)],[C/H(e)]e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,[N/H(e)],[N/H(e)]e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,[O/H(e)],[O/H(e)]e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,[Na/H(e)],[Na/H(e)]e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,[Mg/H(e)],[Mg/H(e)]e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,[Al/H(e)],[Al/H(e)]e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,[Si/H(e)],[Si/H(e)]e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,[P/H(e)],[P/H(e)]e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,[S/H(e)],[S/H(e)]e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,[Cl/H(e)],[Cl/H(e)]e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,[Ar/H(e)],[Ar/H(e)]e,[K/H(e)],[K/H(e)]e,Acc_rate_K_steady_state,Sinking_time_K,[Ca/H(e)],[Ca/H(e)]e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,[Sc/H(e)],[Sc/H(e)]e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,[Ti/H(e)],[Ti/H(e)]e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,[V/H(e)],[V/H(e)]e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,[Cr/H(e)],[Cr/H(e)]e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,[Mn/H(e)],[Mn/H(e)]e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,[Fe/H(e)],[Fe/H(e)]e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,[Co/H(e)],[Co/H(e)]e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,[Ni/H(e)],[Ni/H(e)]e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,[Cu/H(e)],[Cu/H(e)]e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,[Zn/H(e)],[Zn/H(e)]e,Acc_rate_Zn_steady_state,Sinking_time_Zn,[Ga/H(e)],[Ga/H(e)]e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,[Ge/H(e)],[Ge/H(e)]e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,[As/H(e)],[As/H(e)]e,[Se/H(e)],[Se/H(e)]e,[Sr/H(e)],[Sr/H(e)]e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,[Sn/H(e)],[Sn/H(e)]e,[I/H(e)],[I/H(e)]e,[Ba/H(e)],[Ba/H(e)]e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing
2951,Ross 640,Liebert 1977,Ross 640 Liebert 1977,8500,8,,He,Gaia DR3 1331106782752978688,247.104179538235,36.77106857614,,https://ui.adsabs.harvard.edu/abs/1977A%26A....60..101L/abstract,-3.5,-9.4,,,300,,,62.9109,0.0143,-7.5,-8.6,,-1,,,-7,-4,-1,-1,,,,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,WD 1822+410,Koester 2014b,WD 1822+410 Koester 2014b,16230,8.01,,He,Gaia DR3 2109852523240471936,275.904214531973,41.0672520761255,,https://ui.adsabs.harvard.edu/abs/2014A%26A...568A.118K/abstract,,,,,,,,22.9244,0.0197,,,,,,,-7.4,-7.2,,,,7160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23415739200000,,,,20954246400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2953,GD 378,Wolff 2002,GD 378 Wolff 2002,17000,7.9,,He,Gaia DR3 2109852523240471936,275.904214531973,41.0672520761255,,https://ui.adsabs.harvard.edu/abs/2002A%26A...385..995W/abstract,-4,-8.15,0,0.5,800,0.2,,22.9244,0.0197,-6.5,-5.5,0.8,-1,,,-6.5,-6.7,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2954,WD J2112-2922,O'Brien 2023,WD J2112-2922 O'Brien 2023,8960,7.87,,He,Gaia DR3 6788656957673130112,318.169334024846,-29.3716558149041,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,-11.6,,0,40,0.01,,30.4948,0.043,,,,,,,,-4.8,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,DZQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2955,WD2216-657 Wehrse,Zeidler 1986,WD2216-657 Wehrse Zeidler 1986,9300,8,,He,Gaia DR3 6404417771644764160,334.951287462398,-65.4881901491935,,https://ui.adsabs.harvard.edu/abs/1986A%26A...155..356Z/abstract,-3,-9.1,-1,0,,,,39.1697,0.0187,,,,,,,,-6.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956,PG 2322+119,Liebert 1987,PG 2322+119 Liebert 1987,12000,,,He,Gaia DR3 2811012462660275968,351.241551100538,12.1275998469318,,https://ui.adsabs.harvard.edu/abs/1987A%26A...175..173L/abstract,-5.2,-8.7,0,0,,,,19.8479,0.051,,,,,,,,-6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2957,SDSS J000215.64+320914.1,Hollands 2017,SDSS J000215.64+320914.1 Hollands 2017,6410,8,,He,Gaia DR3 Gaia DR3 2873769975034246272,0.56517,32.15392,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,-9.05,,,180,,,5.489529646,0.72111833,-8.14,-7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2958,SDSSJ000215.65+320914.1,Blouin 2020,SDSSJ000215.65+320914.1 Blouin 2020,6466,8.257,0.737,He,Gaia DR3 2873769975034246272,0.5652217454814,32.1538674929433,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3.1,-9.1,-1,0.2,165,0.273,0.177,5.489529646,0.72111833,-7.4,-7.9,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2959,SDSSJ000418.68+081929.9,Blouin 2020,SDSSJ000418.68+081929.9 Blouin 2020,5843,8,,He,,1.07785,8.32499,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3,-8.8,-1,0.2,261,,,,,-7.2,-7.6,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2960,GD 408,Wolff 2002,GD 408 Wolff 2002,13750,8,,He,Gaia DR3 537563127588521600,1.2784192225358,73.2192730607492,,https://ui.adsabs.harvard.edu/abs/2002A%26A...385..995W/abstract,-6,-9.6,0.3,0.3,250,0.2,,28.9825,0.0213,-8.5,-7.5,0.5,1,,,-8,-7,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2961,SDSSJ000614.53+052039.0,Blouin 2020,SDSSJ000614.53+052039.0 Blouin 2020,5783,7.839,0.478,He,Gaia DR3 2742043289409950336,1.5603600018474,5.344109733325,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3,-9.8,-1,0.2,203,0.271,0.163,5.763547198,0.62583005,-8.6,-9.6,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2962,SDSS J000614.53+052039.0,Hollands 2017,SDSS J000614.53+052039.0 Hollands 2017,6790,8,,He,Gaia DR3 2742043289409950336,1.5603600018474,5.344109733325,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,-9,,,170,,,5.763547198,0.62583005,-8.09,-8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2963,SDSSJ001052.56-043014.3,Blouin 2020,SDSSJ001052.56-043014.3 Blouin 2020,6903,8.122,0.651,He,Gaia DR3 2444911924250219648,2.7188535556402,-4.5039061746118,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3.8,-8.5,-1,0.1,209,0.374,0.225,4.879355253,0.5883941,-6.7,-7,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964,SDSS J001052.56-043014.3,Hollands 2017,SDSS J001052.56-043014.3 Hollands 2017,6960,8,,He,Gaia DR3 2444911924250219648,2.7188535556402,-4.5039061746118,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,-8.38,,,160,,,4.879355253,0.5883941,-6.92,-7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965,SDSS J001309.43+110949.0,Hollands 2017,SDSS J001309.43+110949.0 Hollands 2017,5830,8,,He,,3.28929,11.16361,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,-9.11,,,320,,,,,-8.2,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2966,SDSSJ001309.43+110949.0,Blouin 2020,SDSSJ001309.43+110949.0 Blouin 2020,6090,8,,He,,3.28931,11.16361,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3,-9.2,-1,0.4,322,,,,,-7.5,-8,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2967,SDSSJ001949.26+220926.5,Blouin 2020,SDSSJ001949.26+220926.5 Blouin 2020,5797,7.608,0.365,He,Gaia DR3 2800362730471807872,4.955189549057,22.1574730498813,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3,-9.7,-1,0.2,197,0.317,0.164,4.582678168,0.52072453,-8.4,-8.5,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2968,SDSSJ004451.69+041819.2,Blouin 2020,SDSSJ004451.69+041819.2 Blouin 2020,6104,8.22,0.711,He,Gaia DR3 2551258990991085184,11.2154388052528,4.3057132161166,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3,-9.8,-1,0.1,129,0.031,0.02,13.28992282,0.17497139,-8.3,-8.4,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,SDSS J004451.68+041819.2,Hollands 2017,SDSS J004451.68+041819.2 Hollands 2017,6050,8,,He,Gaia DR3 2551258990991085184,11.2154388052528,4.3057132161166,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,-9.82,,,70,,,13.28992282,0.17497139,-8.81,-8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,SDSSJ004634.22+271737.6,Blouin 2020,SDSSJ004634.22+271737.6 Blouin 2020,8053,8.465,0.879,He,Gaia DR3 2808923867308433152,11.6425673950948,27.2938717472596,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-4.1,-7.2,-1,0.2,273,0.327,0.211,3.652544902,0.7436019,-5.4,-6.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2971,SDSSJ004757.07+162836.5,Blouin 2020,SDSSJ004757.07+162836.5 Blouin 2020,6300,8,,He,Gaia DR3 2781820562085975936,11.9878171452955,16.4767924477375,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3.2,-8,-1,0.2,246,,,3.624718659,0.7279662,-6.8,-6.7,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,VMa 2,Dupuis 1993,VMa 2 Dupuis 1993,6000,,,He,Gaia DR3 2552928187080872832,12.2912430722205,5.3886093969299,,https://ui.adsabs.harvard.edu/abs/1993ApJS...87..345D/abstract,-3,-10.6,-1,0,,,,231.78,0.0183,-8.8,-8.8,0,0,,,,-7.3,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973,vMa 2,Grenfell 1972,vMa 2 Grenfell 1972,5800,7.42,,He,Gaia DR3 2552928187080872832,12.2912430722205,5.3886093969299,,https://ui.adsabs.harvard.edu/abs/1974A%26A....31..303G/abstract,,-10.7,,,,,,231.78,0.0183,-9.2,-9.4,,,,,-8.7,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974,vMa2,Wegner 1972,vMa2 Wegner 1972,5500,7.75,,He,Gaia DR3 2552928187080872832,12.2912430722205,5.3886093969299,,https://ui.adsabs.harvard.edu/abs/1973MNRAS.163..381W/abstract,,-10.7,,0,,,,231.78,0.0183,-9.4,-9.7,0,0,,,-9,,-1,,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975,vMa 2,Wolff 2002,vMa 2 Wolff 2002,5700,7.9,,He,Gaia DR3 2552928187080872832,12.2912430722205,5.3886093969299,,https://ui.adsabs.harvard.edu/abs/2002A%26A...385..995W/abstract,-5,-10.65,0.5,0.2,200,0.2,,231.78,0.0183,-9.1,-9.4,0.3,0.2,,,-9,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2976,SDSSJ005247.16+184649.5,Blouin 2020,SDSSJ005247.16+184649.5 Blouin 2020,5305,8,,He,,13.19651,18.78042,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3,-9,-1,0.3,223,,,,,-7.1,-7.5,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2977,SDSSJ005304.15+311555.8,Blouin 2020,SDSSJ005304.15+311555.8 Blouin 2020,6548,8,,He,Gaia DR3 312751551330787584,13.26725,31.26556,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3.2,-8.8,-1,0.5,322,,,,,-7.6,-7.6,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978,SDSS J005304.14+311555.8,Hollands 2017,SDSS J005304.14+311555.8 Hollands 2017,6180,8,,He,Gaia DR3 312751551330787584,13.26725,31.26556,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,-8.87,,,320,,,,,-8.26,-8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2979,SDSS J005649.27+245335.4,Hollands 2017,SDSS J005649.27+245335.4 Hollands 2017,5440,8,,He,,14.20529,24.89317,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,-9.62,,,310,,,,,-8.61,-8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,SDSSJ005649.27+245335.4,Blouin 2020,SDSSJ005649.27+245335.4 Blouin 2020,5061,8,,He,,14.2053,24.89317,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3,-10.2,-1,0.5,194,,,,,-9,-9.1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2981,SDSSJ010825.79-053755.6,Blouin 2020,SDSSJ010825.79-053755.6 Blouin 2020,6250,7.256,0.241,He,Gaia DR3 2476852079906496384,17.1074543595226,-5.6321495220195,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3.7,-8.5,-1,0.3,183,0.512,0.203,4.862682635,0.7386101,-8.2,-7.9,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2982,SDSSJ011421.17+350547.1,Blouin 2020,SDSSJ011421.17+350547.1 Blouin 2020,6209,8,,He,Gaia DR3 320947998199092992,18.5881084033541,35.096442088286,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3.1,-8.4,-1,0.1,198,,,5.116978273,1.3771459,-7,-7.1,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2983,SDSSJ011646.10+205001.9,Blouin 2020,SDSSJ011646.10+205001.9 Blouin 2020,6245,8,,He,Gaia DR3 2787507098786135552,19.1919994202702,20.8340011709968,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3.2,-8.8,-1,0.1,70,,,13.43846544,0.13120471,-7.4,-7.6,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,SDSSJ011759.81+002138.1,Blouin 2020,SDSSJ011759.81+002138.1 Blouin 2020,6994,8.052,0.608,He,Gaia DR3 2534988314843345536,19.4992092516833,0.3605734786359,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1881B/abstract,-3.9,-8.8,-1,0.1,94,0.084,0.052,7.080709483,0.31010798,-7.2,-7.6,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,WD0122-227,Swan 2019,WD0122-227 Swan 2019,8380,8.06,0.61,He,Gaia DR3 5043015122810735744,21.1864000474898,-22.4852453254718,,https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..202S/abstract,-4.4,-10.1,0,0.1,170,0.04,,15.494,0.0724,-8.5,-8.5,0.4,0.2,,,-7.6,,-1,,,,7.65919120464506E+027,,,,,50015425410410.8,,,,,,,,-5.2,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
